ubigeo,departamento,provincia,distrito,latitud,longitud,altitud_estimada,poblacion_total,poblacion_rural,porcentaje_rural,source_note
210101,Puno,Puno,Puno,-15.8402,-70.0219,3827,128637,21868,16.99,"MVP curated seed: ubigeo/name aligned to INEI administrative structure; coordinates/altitude are district-capital references; population fields must be replaced by EstaDist/CPV 2017 export before production."
210201,Puno,Azangaro,Azangaro,-14.9084,-70.1962,3859,28137,15194,54.00,"MVP curated seed: ubigeo/name aligned to INEI administrative structure; coordinates/altitude are district-capital references; population fields must be replaced by EstaDist/CPV 2017 export before production."
210301,Puno,Carabaya,Macusani,-14.0697,-70.4311,4315,12240,4651,38.00,"MVP curated seed: ubigeo/name aligned to INEI administrative structure; coordinates/altitude are district-capital references; population fields must be replaced by EstaDist/CPV 2017 export before production."
210401,Puno,Chucuito,Juli,-16.2122,-69.4596,3869,22310,12717,57.00,"MVP curated seed: ubigeo/name aligned to INEI administrative structure; coordinates/altitude are district-capital references; population fields must be replaced by EstaDist/CPV 2017 export before production."
210501,Puno,El Collao,Ilave,-16.0833,-69.6389,3850,50239,34163,68.00,"MVP curated seed: ubigeo/name aligned to INEI administrative structure; coordinates/altitude are district-capital references; population fields must be replaced by EstaDist/CPV 2017 export before production."
210601,Puno,Huancane,Huancane,-15.2036,-69.7597,3841,23579,13440,57.00,"MVP curated seed: ubigeo/name aligned to INEI administrative structure; coordinates/altitude are district-capital references; population fields must be replaced by EstaDist/CPV 2017 export before production."
210701,Puno,Lampa,Lampa,-15.3644,-70.3672,3892,11073,6422,58.00,"MVP curated seed: ubigeo/name aligned to INEI administrative structure; coordinates/altitude are district-capital references; population fields must be replaced by EstaDist/CPV 2017 export before production."
210801,Puno,Melgar,Ayaviri,-14.8808,-70.5889,3925,22871,7319,32.00,"MVP curated seed: ubigeo/name aligned to INEI administrative structure; coordinates/altitude are district-capital references; population fields must be replaced by EstaDist/CPV 2017 export before production."
210901,Puno,Moho,Moho,-15.3606,-69.5006,3890,16113,9989,62.00,"MVP curated seed: ubigeo/name aligned to INEI administrative structure; coordinates/altitude are district-capital references; population fields must be replaced by EstaDist/CPV 2017 export before production."
211001,Puno,San Antonio de Putina,Putina,-14.9147,-69.8697,3878,14672,4988,34.00,"MVP curated seed: ubigeo/name aligned to INEI administrative structure; coordinates/altitude are district-capital references; population fields must be replaced by EstaDist/CPV 2017 export before production."
211101,Puno,San Roman,Juliaca,-15.4997,-70.1333,3825,276110,22089,8.00,"MVP curated seed: ubigeo/name aligned to INEI administrative structure; coordinates/altitude are district-capital references; population fields must be replaced by EstaDist/CPV 2017 export before production."
211201,Puno,Sandia,Sandia,-14.3214,-69.4653,2170,12127,7034,58.00,"MVP curated seed: ubigeo/name aligned to INEI administrative structure; coordinates/altitude are district-capital references; population fields must be replaced by EstaDist/CPV 2017 export before production."
211301,Puno,Yunguyo,Yunguyo,-16.2500,-69.0833,3826,25095,10540,42.00,"MVP curated seed: ubigeo/name aligned to INEI administrative structure; coordinates/altitude are district-capital references; population fields must be replaced by EstaDist/CPV 2017 export before production."
