distrito,ubigeo,latitud,longitud,altitud_estimada,dominant_cluster,tier,cold_share,temperature_2m_mean,observations
Macusani,210301,-14.0697,-70.4311,4315.0,1,alto,0.625,5.520535714285715,336
Juliaca,211101,-15.4997,-70.1333,3825.0,1,alto,0.5803571428571429,7.4020833333333345,336
Huancane,210601,-15.2036,-69.7597,3841.0,1,alto,0.5684523809523809,7.271130952380953,336
Ilave,210501,-16.0833,-69.6389,3850.0,1,alto,0.5505952380952381,6.3601190476190474,336
Yunguyo,211301,-16.25,-69.0833,3826.0,1,alto,0.5238095238095238,10.256845238095238,336
Moho,210901,-15.3606,-69.5006,3890.0,1,alto,0.5029761904761905,6.799702380952381,336
Puno,210101,-15.8402,-70.0219,3827.0,0,medio,0.49404761904761907,9.055059523809524,336
Azangaro,210201,-14.9084,-70.1962,3859.0,0,medio,0.43154761904761907,8.273511904761904,336
Putina,211001,-14.9147,-69.8697,3878.0,0,medio,0.3958333333333333,8.062797619047618,336
Juli,210401,-16.2122,-69.4596,3869.0,0,medio,0.39285714285714285,9.702678571428573,336
Lampa,210701,-15.3644,-70.3672,3892.0,0,medio,0.3333333333333333,8.99702380952381,336
Ayaviri,210801,-14.8808,-70.5889,3925.0,0,medio,0.23511904761904762,8.887202380952381,336
Sandia,211201,-14.3214,-69.4653,2170.0,2,bajo,0.005952380952380952,13.587202380952382,336
